g1,a2m
g2,aadacl2
g3,aadat
g4,aanat
g5,aars
g6,aars2
g7,aass
g8,abat
g9,abca1
g10,abcb1
g11,abcb11
g12,abcb4
g13,abcc1
g14,abcc10
g15,abcc2
g16,abcc3
g17,abcc4
g18,abcc6
g19,abcc8
g20,abcc9
g21,abcg1
g22,abcg2
g23,abl1
g24,abl2
g25,abo
g26,acaa1
g27,acaca
g28,acacb
g29,acad8
g30,acadm
g31,acads
g32,acadsb
g33,acan
g34,acat1
g35,acat2
g36,ace
g37,ace2
g38,ache
g39,acly
g40,aco1
g41,aco2
g42,acot13
g43,acox1
g44,acp1
g45,acp5
g46,acpp
g47,acsl1
g48,acsl3
g49,acsl4
g50,acss1
g51,acss2
g52,acta1
g53,actb
g54,actc1
g55,actr2
g56,acvr1
g57,acvr1b
g58,acvrl1
g59,acy1
g60,acy3
g61,acyp2
g62,ada
g63,adam17
g64,adam28
g65,adamts4
g66,adamts5
g67,adcy1
g68,adcy2
g69,adcy5
g70,adcyap1
g71,adcyap1r1
g72,adh1a
g73,adh1b
g74,adh1c
g75,adh4
g76,adh5
g77,adh7
g78,adipoq
g79,adk
g80,adm
g81,adora1
g82,adora2a
g83,adora2b
g84,adora3
g85,adra1a
g86,adra1b
g87,adra1d
g88,adra2a
g89,adra2b
g90,adra2c
g91,adrb1
g92,adrb2
g93,adrb3
g94,adss
g95,adssl1
g96,afg3l2
g97,afp
g98,ager
g99,agt
g100,agtr1
g101,agtr2
g102,agxt
g103,agxt2
g104,ahcy
g105,ahr
g106,aifm1
g107,ak1
g108,ak2
g109,ak8
g110,akr1a1
g111,akr1b1
g112,akr1b10
g113,akr1c1
g114,akr1c2
g115,akr1c3
g116,akr1c4
g117,akr1d1
g118,akt1
g119,akt2
g120,akt3
g121,alad
g122,alas1
g123,alas2
g124,alb
g125,alcam
g126,aldh18a1
g127,aldh1a1
g128,aldh1a2
g129,aldh1a3
g130,aldh1b1
g131,aldh1l1
g132,aldh2
g133,aldh3a1
g134,aldh3a2
g135,aldh3b1
g136,aldh3b2
g137,aldh4a1
g138,aldh5a1
g139,aldh6a1
g140,aldh7a1
g141,aldh9a1
g142,aldoa
g143,aldob
g144,alk
g145,alkbh2
g146,alkbh3
g147,alox5
g148,alpl
g149,alpp
g150,alppl2
g151,ambp
g152,amd1
g153,amh
g154,amhr2
g155,amn
g156,amt
g157,amy1a
g158,amy2a
g159,amy2b
g160,ang
g161,angpt2
g162,ano1
g163,anpep
g164,anxa1
g165,anxa2
g166,anxa5
g167,aoc1
g168,aox1
g169,apaf1
g170,apc
g171,apex1
g172,apln
g173,apoa1
g174,apoa2
g175,apob
g176,apod
g177,apoe
g178,app
g179,aprt
g180,aqp1
g181,aqp8
g182,aqp9
g183,ar
g184,araf
g185,areg
g186,arf1
g187,arf6
g188,arg1
g189,arg2
g190,arid1a
g191,arl1
g192,arl3
g193,arl5b
g194,arnt
g195,arsb
g196,asic3
g197,asl
g198,asmt
g199,asna1
g200,asns
g201,aspa
g202,asph
g203,asrgl1
g204,ass1
g205,asxl1
g206,atf2
g207,atf3
g208,atf4
g209,atic
g210,atm
g211,atox1
g212,atp1a1
g213,atp2a1
g214,atp2c1
g215,atp4a
g216,atp5a1
g217,atp5b
g218,atp5c1
g219,atp5d
g220,atp6v1a
g221,atp6v1b2
g222,atp7a
g223,atp7b
g224,atp8a1
g225,atrx
g226,atxn1l
g227,aurka
g228,aurkb
g229,avpr1a
g230,avpr1b
g231,avpr2
g232,azin2
g233,b2m
g234,b3gat1
g235,b3gat3
g236,b4galt1
g237,b4galt2
g238,b4galt3
g239,b4galt4
g240,baat
g241,bace1
g242,bag1
g243,bap1
g244,bax
g245,bbox1
g246,bcat1
g247,bcat2
g248,bche
g249,bckdk
g250,bcl2
g251,bcl2l1
g252,bcl2l11
g253,bcl2l2
g254,bcl6
g255,bcor
g256,bcr
g257,bdh1
g258,bdkrb2
g259,bdnf
g260,bglap
g261,bhlhe40
g262,bhmt
g263,bhmt2
g264,birc5
g265,blm
g266,blvra
g267,blvrb
g268,braf
g269,brca1
g270,brca2
g271,brd2
g272,brd4
g273,bst1
g274,btf3p11
g275,btk
g276,c1qa
g277,c1qb
g278,c1qbp
g279,c1qc
g280,c1r
g281,c1s
g282,c3
g283,c4a
g284,c4b
g285,c5
g286,c8g
g287,ca1
g288,ca10
g289,ca11
g290,ca12
g291,ca13
g292,ca14
g293,ca2
g294,ca3
g295,ca4
g296,ca5a
g297,ca5b
g298,ca6
g299,ca7
g300,ca8
g301,ca9
g302,cacna1a
g303,cacna1b
g304,cacna1c
g305,cacna1d
g306,cacna1f
g307,cacna1g
g308,cacna1h
g309,cacna1i
g310,cacna1s
g311,cacna2d1
g312,cacna2d2
g313,cacna2d3
g314,cacnb1
g315,cacnb2
g316,cacnb3
g317,cacnb4
g318,cacng1
g319,cad
g320,calca
g321,calcr
g322,calm1
g323,calr
g324,caly
g325,camk1d
g326,camk1g
g327,camk2b
g328,camk2d
g329,camk2g
g330,camk4
g331,camlg
g332,camp
g333,cant1
g334,canx
g335,capns1
g336,card9
g337,cars
g338,cars2
g339,cartpt
g340,casp1
g341,casp3
g342,casp8
g343,casr
g344,cast
g345,cat
g346,cav1
g347,cbl
g348,cblb
g349,cblc
g350,cbs
g351,cck
g352,cckar
g353,cckbr
g354,ccl11
g355,ccl17
g356,ccl18
g357,ccl2
g358,ccl21
g359,ccl22
g360,ccl25
g361,ccl3
g362,ccl4
g363,ccl5
g364,ccl7
g365,ccna2
g366,ccnd1
g367,ccnd2
g368,ccnd3
g369,ccne1
g370,ccr2
g371,ccr5
g372,cct3
