OK: Descarga manual completada.
PC: Purchase.
SC: Se descarga mediante scraper.
MP: La página no existe (Missing page).
UK: Desconocido. La página existe pero es nada.

Voy desde el fondo hacia arriba haciendo las descargas manuales

Fuentes distintas: 425

Artículos en cada una:
www.sciencedirect.com: 3534
doi.org: 1444
onlinelibrary.wiley.com: 943
SC www.jbc.org: 908
link.springer.com: 907
academic.oup.com: 856
dx.doi.org: 796
SC www.nature.com: 664
jpet.aspetjournals.org: 539
www.tandfonline.com: 414
SC cancerres.aacrjournals.org: 406
SC clincancerres.aacrjournals.org: 391
molpharm.aspetjournals.org: 388
ovidsp.ovid.com: 334
www.pnas.org: 330
www.physiology.org: 293
mct.aacrjournals.org: 211
ascopubs.org: 195
www.karger.com?DOI=10.1159: 173
ashpublications.org: 171
www.jimmunol.org: 168
insights.ovid.com: 165
www.ahajournals.org: 159
europepmc.org: 155
Insights.ovid.com: 153
journals.sagepub.com: 146
joi.jlc.jst.go.jp: 145
portlandpress.com: 142
www.eurekaselect.com: 126
www.nejm.org: 122
www.cell.com: 113
dx.plos.org: 109
www.febsletters.org: 107
www.spandidos-publications.com: 101
www.thelancet.com: 96
www.jneurosci.org: 93
cancerdiscovery.aacrjournals.org: 91
www.thieme-connect.com: 90
www.jci.org: 80
www.liebertpub.com: 75
www.impactjournals.com: 66
www.sciencemag.org: 64
www.dovepress.com: 64
dmd.aspetjournals.org: 63
diabetes.diabetesjournals.org: 61
www.cancercell.org: 58
linkinghub.elsevier.com: 57
mcb.asm.org: 53
www.fasebj.org: 46
jamanetwork.com: 45
anesthesiology.pubs.asahq.org: 44
jto.org: 42
www.atsjournals.org: 41
iovs.arvojournals.org: 40
jem.rupress.org: 40
metabolismjournal.com: 39
jidonline.org: 38
aac.asm.org: 36
www.jlr.org: 36
biologicalpsychiatryjournal.com: 34
joe.bioscientifica.com: 34
clinicaltherapeutics.com: 34
journal.yiigle.com: 34
stm.sciencemag.org: 32
journals.prous.com: 31
jacionline.org: 29
www.nrcresearchpress.com: 29
gastrojournal.org: 29
ejcancer.com: 29
lungcancerjournal.info: 29
journals.elsevierhealth.com: 28
kidney-international.theisn.org: 27
thrombosisresearch.com: 26
www.degruyter.com: 26
ar.iiarjournals.org: 26
jmmc-online.com: 25
bmccancer.biomedcentral.com: 24
jb.asm.org: 23
www.ncbi.nlm.nih.gov: 22
www.jurology.com: 22
jasn.asnjournals.org: 22
www.hindawi.com: 22
mcr.aacrjournals.org: 22
scripts.iucr.org: 21
theoncologist.alphamedpress.org: 21
www.haematologica.org: 21
japanlinkcenter.org: 20
gynecologiconcology-online.net: 20
jcs.biologists.org: 20
www.chinaphar.com: 20
ajog.org: 18
jgp.rupress.org: 18
eje.bioscientifica.com: 18
arjournals.annualreviews.org: 17
cell.com: 17
www.psychiatrist.com: 17
jni-journal.com: 16
jnm.snmjournals.org: 16
exphem.org: 16
www.if-pan.krakow.pl: 16
molecular-cancer.biomedcentral.com: 16
jvi.asm.org: 15
ajconline.org: 14
atherosclerosis-journal.com: 14
www.plantphysiol.org: 14
erj.ersjournals.com: 14
fertstert.org: 14
bjanaesthesia.org: 13
contraceptionjournal.org: 13
www.medicalonline.jp: 13
jcb.rupress.org: 13
www.cambridge.org: 13
cebp.aacrjournals.org: 13
www.jpp.krakow.pl: 13
www.wjgnet.com: 13
www.futuremedicine.com: 13
ard.bmj.com: 12
content.iospress.com: 12
iai.asm.org: 11
www.genesdev.org: 11
gut.bmj.com: 11
www.ingentaconnect.com: 11
goldjournal.net: 10
